Region,Product Category,Sales Amount,Quarter,Year,Profit Margin,Order Date,Customer Type,Employee ID
../../../../../../../../../../../etc/passwd%00,"Cheese - Brie, Triple Creme",PHP,Q4,1995,62,03/22/2024,Wholesale,1
 ,Versatainer Nc - 888,IDR,Q2,1998,100,05/18/2024,Wholesale,2
1/2,Tart - Lemon,EUR,Q4,2006,58,07/09/2024,Retail,3
🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,Soup Campbells - Tomato Bisque,CUP,Q4,1992,88,08/07/2024,Wholesale,4
部落格,Bread - Onion Focaccia,NAD,Q3,2009,22,10/25/2023,Wholesale,5
"__ﾛ(,_,*)",Cookie Chocolate Chip With,THB,Q1,1994,97,02/29/2024,Retail,6
() { 0; }; touch /tmp/blns.shellshock1.fail;,Spice - Montreal Steak Spice,BRL,Q4,1994,83,09/14/2024,Wholesale,7
⁦test⁧,"Soup - Knorr, Chicken Gumbo",USD,Q2,2002,29,07/25/2024,Retail,8
nil,Thyme - Dried,IDR,Q1,1982,51,01/06/2024,Retail,9
<script>alert('hi')</script>,Ice Cream Bar - Hageen Daz To,ARS,Q2,2011,89,02/19/2024,Wholesale,10
"'""'",Steampan - Lid For Half Size,CNY,Q1,2005,3,05/03/2024,Wholesale,11
() { 0; }; touch /tmp/blns.shellshock1.fail;,Soup - Boston Clam Chowder,UAH,Q4,2001,34,07/31/2024,Retail,12
1.00,Dooleys Toffee,EUR,Q4,2008,2,09/22/2024,Retail,13
ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,Bread - Hot Dog Buns,JPY,Q1,2009,59,06/29/2024,Wholesale,14
1/2,Tea - Grapefruit Green Tea,SEK,Q3,1984,94,01/23/2024,Retail,15
(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,Bread - Kimel Stick Poly,CNY,Q3,1997,8,08/09/2024,Wholesale,16
⁰⁴⁵,Soup - Verve - Chipotle Chicken,CNY,Q1,2009,100,02/05/2024,Retail,17
ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,Passion Fruit,RUB,Q1,1994,85,02/28/2024,Wholesale,18
⁰⁴⁵,Salt - Celery,IDR,Q1,2001,63,12/02/2023,Retail,19
',Appetizer - Smoked Salmon / Dill,PHP,Q1,2003,15,08/18/2024,Retail,20
-1E2,Bread - Rye,EUR,Q2,1994,84,04/23/2024,Wholesale,21
0/0,"Pepper - Chillies, Crushed",JPY,Q1,2012,68,04/27/2024,Wholesale,22
"'""'","Sauce - Soya, Light",CNY,Q3,1995,3,11/11/2023,Wholesale,23
"""''''""'""",Mustard Prepared,SEK,Q2,2000,34,05/12/2024,Retail,24
部落格,Sauce - Chili,PHP,Q3,1994,54,03/24/2024,Retail,25
部落格,Sobe - Tropical Energy,JPY,Q4,1995,57,03/31/2024,Wholesale,26
사회과학원 어학연구소,Mace Ground,IDR,Q4,2003,65,05/31/2024,Wholesale,27
1E02,Wiberg Cure,MGA,Q3,2011,81,06/21/2024,Wholesale,28
1;DROP TABLE users,Sugar - White Packet,CNY,Q2,1986,56,04/11/2024,Wholesale,29
-1/2,Broom - Push,COP,Q1,2009,33,12/14/2023,Retail,30
<img src=x onerror=alert('hi') />,Flower - Potmums,HNL,Q1,2012,79,04/05/2024,Retail,31
,"Octopus - Baby, Cleaned",ILS,Q4,2006,45,09/13/2024,Wholesale,32
¡™£¢∞§¶•ªº–≠,Chips Potato Swt Chilli Sour,CNY,Q1,1987,71,01/16/2024,Wholesale,33
999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,Cake Sheet Combo Party Pack,VND,Q3,1997,15,09/06/2024,Retail,34
和製漢語,Food Colouring - Blue,VND,Q4,1987,21,06/05/2024,Retail,35
"'""'",Baking Powder,KZT,Q4,1986,64,01/22/2024,Retail,36
(｡◕ ∀ ◕｡),Chef Hat 25cm,BRL,Q4,1997,31,11/23/2023,Wholesale,37
✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,Sauce - Mint,EUR,Q4,1981,91,11/27/2023,Retail,38
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,"Chilli Paste, Ginger Garlic",USD,Q3,1989,10,07/31/2024,Retail,39
test⁠test‫,Paper Cocktail Umberlla 80 - 180,PEN,Q3,2000,23,05/18/2024,Wholesale,40
-$1.00,Cups 10oz Trans,COP,Q3,1987,77,05/29/2024,Retail,41
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,Burger Veggie,IDR,Q1,1986,56,05/23/2024,Retail,42
<img src=x onerror=alert('hi') />,Pastry - Trippleberry Muffin - Mini,COP,Q4,2002,62,10/15/2023,Retail,43
ÅÍÎÏ˝ÓÔÒÚÆ☃,Bread Cranberry Foccacia,IDR,Q1,2012,51,07/23/2024,Wholesale,44
１２３,Ecolab Silver Fusion,PEN,Q3,2003,39,01/25/2024,Retail,45
"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",Cookie Trail Mix,RUB,Q1,1997,24,07/15/2024,Wholesale,46
0.00,Chocolate - Sugar Free Semi Choc,IDR,Q4,1998,79,07/25/2024,Wholesale,47
"""''''""'""",Sauce Bbq Smokey,IDR,Q3,1998,47,05/22/2024,Wholesale,48
1,Table Cloth 62x114 Colour,MXN,Q3,2012,16,07/20/2024,Wholesale,49
울란바토르,Shrimp - Black Tiger 13/15,HNL,Q3,2011,46,07/16/2024,Wholesale,50
˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,Table Cloth 81x81 White,RUB,Q1,1987,55,04/12/2024,Wholesale,51
<svg><script>0<1>alert('XSS')</script>,"Zucchini - Mini, Green",IDR,Q2,1995,49,05/20/2024,Wholesale,52
`⁄€‹›ﬁﬂ‡°·‚—±,Cocoa Feuilletine,EUR,Q4,2004,73,02/26/2024,Retail,53
1'; DROP TABLE users--,Soup - Campbells Chicken,NGN,Q1,1990,23,12/30/2023,Retail,54
